epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.85602,0.96252,5.40088,0.01388,0.00632,0.58333,0.03733,0.01672,0.66175,6.65466,0.01094,0,0,0
2,16.4652,1.03691,5.4522,0.01362,0.00756,0.75,0.04691,0.01885,0.75057,6.73315,0.01288,1.63399e-05,1.63399e-05,1.63399e-05
3,23.9081,0.99646,4.58081,0.01188,0.00678,0.75,0.04745,0.01927,0.74575,6.73438,0.01251,3.20197e-05,3.20197e-05,3.20197e-05
4,31.4531,0.89901,5.37518,0.01172,0.00621,0.75,0.04744,0.01976,0.77166,6.75405,0.01313,4.70394e-05,4.70394e-05,4.70394e-05
5,38.5222,1.08302,5.96249,0.01454,0.0059,0.75,0.06558,0.01997,0.77411,6.75962,0.01358,6.13989e-05,6.13989e-05,6.13989e-05
6,46.3651,0.83201,5.30753,0.01367,0.00569,0.75,0.05808,0.01911,0.78344,6.7756,0.0139,7.50984e-05,7.50984e-05,7.50984e-05
7,53.5481,0.87823,5.04946,0.00962,0.00557,0.75,0.08025,0.02437,0.79298,6.73454,0.01446,8.81376e-05,8.81376e-05,8.81376e-05
8,60.6948,0.79108,4.93478,0.00896,0.00552,0.75,0.06539,0.02883,0.85046,6.76073,0.01469,0.000100517,0.000100517,0.000100517
9,68.0392,0.90575,4.87394,0.01088,0.0055,0.75,0.05886,0.03141,0.8815,6.78656,0.01571,0.000112236,0.000112236,0.000112236
10,75.3409,0.65473,6.14397,0.01167,0.00552,0.75,0.07526,0.04701,0.86172,6.77616,0.01519,0.000123295,0.000123295,0.000123295
11,82.753,0.68421,5.1811,0.00924,0.0056,0.75,0.24617,0.0826,0.90222,6.83052,0.01554,0.000133693,0.000133693,0.000133693
12,89.873,0.59051,4.91728,0.00804,0.00568,0.75,0.06479,0.03923,0.86904,6.82345,0.01519,0.000143432,0.000143432,0.000143432
13,97.2436,0.94528,4.70518,0.00861,0.00573,0.75,0.06244,0.03257,0.90961,6.82937,0.01629,0.00015251,0.00015251,0.00015251
14,104.362,1.06606,4.52592,0.00926,0.00582,0.75,0.07363,0.04738,0.90496,6.80961,0.01602,0.000160929,0.000160929,0.000160929
15,111.555,0.76755,4.45078,0.00695,0.00588,0.75,0.09098,0.04344,0.96064,6.86984,0.01614,0.000168687,0.000168687,0.000168687
16,118.689,0.74057,4.68848,0.00972,0.00591,0.75,0.15784,0.06904,1.0368,6.92176,0.01804,0.000175785,0.000175785,0.000175785
17,125.819,0.75864,4.54748,0.00802,0.00589,0.75,0.39999,0.13135,0.91743,6.84975,0.01531,0.000182223,0.000182223,0.000182223
18,132.662,0.78677,4.44246,0.00826,0.00589,0.75,0.39999,0.13135,0.91743,6.84975,0.01531,0.000188001,0.000188001,0.000188001
19,139.996,0.72067,4.544,0.00821,0.00595,0.75,0.49735,0.24872,0.94445,6.84239,0.01638,0.000193119,0.000193119,0.000193119
